id;nombre_empleado;apellido_empleado;telefono_empleado;correo_empleado
1;scholarship procurement;valiantly against;failing below oh;skyscraper for nor
2;marketplace ham;that snoopy jell;provided object debut;instead
3;fail boastfully off;that;complication configuration;inasmuch
4;evenly supposing;yahoo questioningly per;throughout how;straight excluding
5;minty sheathe etch;abnormally uproot aha;aha unique um;once duh inside
6;an;eek fast;scholarship rural;athwart
7;goodwill;gleefully how even;towards but;sarcastic
8;dirty imaginary;uh-huh hence floodlight;extra-large;cool drat phooey
9;fixed;loaf ouch brr;mould;yesterday manage hm
10;pixellate general busily;gadzooks pocket-watch;fowl;when
